Landcover_id	Landcover_Name	IrrFlag	ET_Flag	IrrSWC	IrrMonStart	IrrDayStart	IrrMonEnd	IrrDayEnd	RootDepth	IrrEff_Flood	IrrEff_WL	IrrEff_CP	Kc_Mult
1	Alfalfa_Irrigated	TRUE	TRUE	0.55	3	25	8	31	6	0.7	1.25	1.35	0.96
2	Grain_Irrigated	TRUE	TRUE	0.55	3	16	7	10	2	0.7	1.25	1.35	0.96
3	Pasture_Irrigated	TRUE	TRUE	0.45	4	15	10	15	2	0.7	1	1.15	0.96
4	Native_Vegetation	FALSE	TRUE	0	0	0	0	0	3	0	0	0	0.96
5	Urban_Barren	FALSE	FALSE	0	0	0	0	0	0	0	0	0	0.96
6	Water	FALSE	TRUE	0	0	0	0	0	2	0	0	0	0.96
7	Alfalfa_Non-Irrigated	FALSE	TRUE	0	0	0	0	0	6	0	0	0	0.96
8	Grain_Non-Irrigated	FALSE	TRUE	0	0	0	0	0	2	0	0	0	0.96
9	Pasture_Non-Irrigated	FALSE	TRUE	0	0	0	0	0	2	0	0	0	0.96
